Primary_ID,Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options
1,27/08/14 11:29,37,Female,United States,IL,NA,No,Yes,Often,Jun-25,No,Yes,Yes,Not sure
2,27/08/14 11:29,44,M,United States,IN,NA,No,No,Rarely,More than 1000,No,No,Don't know,No
3,27/08/14 11:29,32,Male,Canada,NA,NA,No,No,Rarely,Jun-25,No,Yes,No,No
4,27/08/14 11:29,31,Male,United Kingdom,NA,NA,Yes,Yes,Often,26-100,No,Yes,No,Yes
5,27/08/14 11:30,31,Male,United States,TX,NA,No,No,Never,100-500,Yes,Yes,Yes,No
6,27/08/14 11:31,33,Male,United States,TN,NA,Yes,No,Sometimes,Jun-25,No,Yes,Yes,Not sure
7,27/08/14 11:31,35,Female,United States,MI,NA,Yes,Yes,Sometimes,1-May,Yes,Yes,No,No
8,27/08/14 11:32,39,M,Canada,NA,NA,No,No,Never,1-May,Yes,Yes,No,Yes
9,27/08/14 11:32,42,Female,United States,IL,NA,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes
10,27/08/14 11:32,23,Male,Canada,NA,NA,No,No,Never,26-100,No,Yes,Don't know,No
11,27/08/14 11:32,31,Male,United States,OH,NA,No,Yes,Sometimes,Jun-25,Yes,Yes,Don't know,No
12,27/08/14 11:32,29,male,Bulgaria,NA,NA,No,No,Never,100-500,Yes,Yes,Don't know,Not sure
13,27/08/14 11:33,42,female,United States,CA,NA,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes
14,27/08/14 11:33,36,Male,United States,CT,NA,Yes,No,Never,500-1000,No,Yes,Don't know,Not sure
15,27/08/14 11:33,27,Male,Canada,NA,NA,No,No,Never,Jun-25,No,Yes,Don't know,Not sure
16,27/08/14 11:34,29,female,United States,IL,NA,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure
17,27/08/14 11:34,23,Male,United Kingdom,NA,NA,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,No
18,27/08/14 11:34,32,Male,United States,TN,NA,No,Yes,Sometimes,Jun-25,No,Yes,Yes,Yes
19,27/08/14 11:34,46,male,United States,MD,Yes,Yes,No,Sometimes,1-May,Yes,Yes,Yes,Not sure
20,27/08/14 11:35,36,Male,France,NA,Yes,Yes,No,NA,Jun-25,Yes,Yes,No,No
21,27/08/14 11:35,29,Male,United States,NY,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes
22,27/08/14 11:35,31,male,United States,NC,Yes,No,No,Never,1-May,Yes,Yes,No,No
23,27/08/14 11:35,46,Male,United States,MA,No,No,Yes,Often,26-100,Yes,Yes,Yes,Yes
24,27/08/14 11:36,41,Male,United States,IA,No,No,Yes,Never,More than 1000,No,No,Don't know,No
25,27/08/14 11:36,33,male,United States,CA,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure
26,27/08/14 11:37,35,male,United States,TN,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes
27,27/08/14 11:37,33,male,United States,TN,No,No,No,NA,1-May,No,Yes,Don't know,Not sure
28,27/08/14 11:37,35,Female,United States,CA,No,Yes,Yes,Rarely,Jun-25,Yes,Yes,Yes,Yes
29,27/08/14 11:38,34,male,United States,OH,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure
30,27/08/14 11:38,37,Male,United Kingdom,NA,No,No,No,Sometimes,Jun-25,No,Yes,No,No
31,27/08/14 11:39,32,Male,United Kingdom,NA,No,No,No,Never,Jun-25,Yes,Yes,No,No
32,27/08/14 11:38,31,Male,United States,PA,Yes,Yes,No,Rarely,1-May,Yes,Yes,No,Yes
33,27/08/14 11:39,30,male,United Kingdom,NA,No,Yes,Yes,Sometimes,500-1000,Yes,Yes,Don't know,No
34,27/08/14 11:39,42,Male,United States,WA,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes
35,27/08/14 11:40,40,female,United States,WI,No,No,Yes,Sometimes,1-May,No,Yes,Yes,Yes
